date,open,high,low,close,volume,amount
2022-03-16,244.09,259.24,239.81,259.04,282237,13816433664.0
2022-03-17,267.04,276.76,265.71,270.93,276301,14545565696.0
2022-03-18,267.87,270.91,259.54,263.15,163918,8401871616.0
2022-03-21,268.43,276.32,267.09,268.43,136341,7164824320.0
2022-03-22,268.43,268.43,261.21,264.54,102283,5229898240.0
2022-03-23,268.43,270.08,262.82,265.81,84110,4336729344.0
2022-03-24,262.84,267.14,256.42,265.09,84806,4303359232.0
2022-03-25,263.94,267.42,258.43,258.47,92836,4724122624.0
2022-03-28,262.25,262.25,245.14,250.09,149465,7277413376.0
2022-03-29,250.09,257.32,247.32,250.04,112359,5508775168.0
2022-03-30,252.87,267.87,252.87,267.87,162170,8276504320.0
2022-03-31,265.73,267.32,259.07,264.15,96239,4899473664.0
2022-04-01,261.76,270.93,260.17,267.82,95182,4923473152.0
2022-04-06,266.49,267.32,258.98,261.86,85428,4336158464.0
2022-04-07,257.62,260.09,250.12,254.66,119581,5909983744.0
2022-04-08,253.26,260.02,251.21,254.54,93571,4635752704.0
2022-04-11,243.58,245.09,230.71,234.54,207382,9541686016.0
2022-04-12,235.52,242.19,235.37,241.76,124982,5825410048.0
2022-04-13,238.37,247.21,236.21,238.43,95231,4479994624.0
2022-04-14,243.43,243.98,231.76,234.98,137524,6360122880.0
2022-04-15,230.17,233.42,219.97,230.02,199891,8854163456.0
2022-04-18,225.09,230.64,221.37,230.09,119576,5318801152.0
2022-04-19,229.79,234.86,223.12,224.13,143821,6429594368.0
2022-04-20,223.43,225.65,204.97,205.65,311996,12923538944.0
2022-04-21,208.36,211.48,201.15,206.82,211166,8609961728.0
2022-04-22,206.21,214.64,204.54,210.28,201367,8387810560.0
2022-04-25,200.54,205.15,196.21,196.26,213165,8439172096.0
2022-04-26,194.04,197.32,188.98,188.98,185105,7103865344.0
2022-04-27,183.43,206.63,183.28,205.68,316124,12266669568.0
2022-04-28,201.75,203.15,191.76,194.82,259177,10137614848.0
2022-04-29,198.43,207.31,187.88,206.96,336477,13205553664.0
2022-05-05,182.32,193.58,175.65,188.43,602772,22255526400.0
2022-05-06,180.65,194.39,180.55,188.42,240801,9064523008.0
2022-05-09,187.32,188.96,181.6,184.26,166680,6152776448.0
2022-05-10,179.15,193.43,177.95,190.19,244378,9143581696.0
2022-05-11,190.63,212.19,190.37,207.18,317540,12827256064.0
2022-05-12,204.21,206.87,200.58,203.71,134208,5425822464.0
2022-05-13,205.65,212.01,202.04,209.98,148546,6105079552.0
2022-05-16,211.2,217.21,205.66,205.66,143878,5996721408.0
2022-05-17,207.31,215.42,206.34,214.29,138899,5834497792.0
2022-05-18,215.34,216.21,209.78,212.32,107120,4495183616.0
2022-05-19,209.79,213.93,206.57,212.32,126330,5249401600.0
2022-05-20,217.32,219.54,211.48,216.71,158268,6751272960.0
2022-05-23,216.71,216.71,207.32,211.04,137918,5750871808.0
2022-05-24,209.35,209.36,202.78,202.89,150127,6109883648.0
2022-05-25,204.26,205.13,198.71,201.19,139349,5567079680.0
2022-05-26,200.92,202.78,195.58,196.21,140598,5535883520.0
2022-05-27,199.54,206.84,197.39,198.65,187802,7541807360.0
2022-05-30,203.03,205.76,201.09,202.76,125295,5046715392.0
2022-05-31,201.71,208.42,198.15,206.21,177995,7205121024.0
2022-06-01,207.37,218.98,205.09,215.67,191785,8078892544.0
